City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,college,64.8569,-147.8028,6.97,43,40,3.6,US,1682643083
1,kloulklubed,7.0419,134.2556,29.28,75,95,1.9,PW,1682643872
2,dudinka,69.4058,86.1778,-14.74,100,100,0.84,RU,1682643411
3,grytviken,-54.2811,-36.5092,1.35,82,17,3.62,GS,1682643375
4,banda aceh,5.5577,95.3222,27.41,76,100,1.61,ID,1682643872
5,chalette-sur-loing,48.0134,2.7359,15.68,98,100,3.91,FR,1682643873
6,longjiang,47.3303,123.1836,14.63,29,73,3.33,CN,1682643873
7,lerwick,60.1545,-1.1494,4.0,91,100,7.15,GB,1682643873
8,puerto natales,-51.7236,-72.4875,3.49,94,93,2.0,CL,1682643873
9,port-aux-francais,-49.35,70.2167,5.46,67,96,11.6,TF,1682643874
10,ushuaia,-54.8,-68.3,3.81,81,40,7.72,AR,1682643875
11,qaqortoq,60.7167,-46.0333,1.18,82,4,2.14,GL,1682643439
12,holualoa,19.6228,-155.9522,26.91,83,40,5.14,US,1682643454
13,whitehorse,60.7161,-135.0538,8.43,38,75,9.77,CA,1682643429
14,kostomuksha,64.571,30.5767,-0.16,94,90,5.23,RU,1682643876
15,wailua homesteads,22.0669,-159.378,27.24,66,20,6.69,US,1682643393
16,adamstown,-25.066,-130.1015,23.93,65,93,2.45,PN,1682643357
17,badger,64.8,-147.5333,6.93,39,40,3.6,US,1682643415
18,bikenibeu village,1.3673,173.1241,30.98,70,20,3.6,KI,1682643877
19,lucea,18.451,-78.1736,25.92,76,100,2.74,JM,1682643877
20,avarua,-21.2078,-159.775,26.03,69,100,3.09,CK,1682643375
21,edinburgh of the seven seas,-37.0676,-12.3116,16.43,77,100,2.53,SH,1682643371
22,kavieng,-2.5744,150.7967,29.15,72,23,1.31,PG,1682643878
23,stokesdale,36.2371,-79.9795,14.29,96,100,5.14,US,1682643878
24,takoradi,4.8845,-1.7554,25.48,87,100,3.6,GH,1682643879
25,aasiaat,68.7098,-52.8699,-7.03,96,58,0.86,GL,1682643407
26,papatowai,-46.5619,169.4708,11.46,72,57,1.8,NZ,1682643416
27,ust-nera,64.5667,143.2,-1.27,78,9,0.86,RU,1682643402
28,petropavlovsk-kamchatsky,53.0452,158.6483,4.33,38,75,5.0,RU,1682643385
29,dazhou,31.2159,107.5009,17.97,83,100,1.7,CN,1682643879
30,lere,10.387,8.5726,22.83,75,100,1.67,NG,1682643880
31,barabai,-2.5833,115.3833,28.37,79,100,0.72,ID,1682643880
32,pollock pines,38.7613,-120.5866,24.57,33,0,1.54,US,1682643880
33,inarajan village,13.2736,144.7484,31.54,86,8,9.14,GU,1682643880
34,visakhapatnam,17.69,83.2093,24.94,88,20,1.03,IN,1682643880
35,uturoa,-16.7333,-151.4333,27.59,77,78,3.59,PF,1682643411
36,campbell river,50.0163,-125.2446,17.55,39,20,2.06,CA,1682643650
37,fairbanks,64.8378,-147.7164,7.98,39,75,4.12,US,1682643881
38,waitangi,-43.9535,-176.5597,13.23,80,88,0.89,NZ,1682643881
39,ternate,0.8,127.4,28.93,72,10,0.55,ID,1682643882
40,gadzhiyevo,69.2551,33.3362,-5.1,84,18,5.13,RU,1682643472
41,tiksi,71.6872,128.8694,-4.8,80,98,1.55,RU,1682643391
42,san antonio de pale,-1.4014,5.6325,27.54,76,100,2.23,GQ,1682643377
43,strathmore,51.0501,-113.3852,16.59,34,83,2.87,CA,1682643600
44,portland,45.5234,-122.6762,27.02,44,20,4.12,US,1682643472
45,la passe,45.5549,-0.8967,14.13,91,100,1.43,FR,1682643883
46,la'ie,21.6477,-157.9253,24.93,79,100,3.2,US,1682643412
47,cromwell,41.5951,-72.6454,9.99,86,0,0.0,US,1682643883
48,ilulissat,69.2167,-51.1,-0.99,86,15,0.0,GL,1682643375
49,hermanus,-34.4187,19.2345,15.27,84,0,4.49,ZA,1682643408
50,buala,-8.145,159.5921,30.55,64,10,1.53,SB,1682643504
51,piacabucu,-10.4056,-36.4344,25.12,88,14,3.09,BR,1682643452
52,iqaluit,63.7506,-68.5145,-1.15,100,75,4.63,CA,1682643313
53,sodra sandby,56.5667,16.6167,3.83,87,0,4.01,SE,1682643884
54,puerto ayora,-0.7393,-90.3518,26.42,90,100,2.24,EC,1682643363
55,dryden,49.7833,-92.7503,6.16,70,0,2.06,CA,1682643444
56,anadyr,64.75,177.4833,-7.72,78,0,4.0,RU,1682643421
57,east london,-33.0153,27.9116,19.58,75,45,2.74,ZA,1682643885
58,necochea,-38.5473,-58.7368,15.2,59,57,4.76,AR,1682643885
59,nemuro,43.3236,145.575,6.85,76,67,3.55,JP,1682643452
60,port lincoln,-34.7333,135.8667,16.21,49,99,6.94,AU,1682643446
61,yellowknife,62.456,-114.3525,6.29,65,75,5.66,CA,1682643360
62,kodiak,57.79,-152.4072,5.73,70,100,2.06,US,1682643424
63,port elizabeth,-33.918,25.5701,17.95,93,40,2.57,ZA,1682643398
64,longyearbyen,78.2186,15.6401,-2.09,93,100,5.14,SJ,1682643370
65,tura,25.5198,90.2201,24.8,54,6,0.47,IN,1682643366
66,giyani,-23.3025,30.7187,20.2,67,0,1.97,ZA,1682643887
67,la paz,-16.5,-68.15,8.99,42,31,1.03,BO,1682643887
68,ola,59.5833,151.2833,1.94,77,7,3.26,RU,1682643401
69,atafu village,-8.5421,-172.5159,28.83,73,100,7.43,TK,1682643415
70,gaspra,44.4333,34.1,11.95,90,100,0.66,UA,1682643888
71,port alfred,-33.5906,26.891,16.77,89,72,0.45,ZA,1682643406
72,bonthe,7.5264,-12.505,26.97,76,19,2.69,SL,1682643412
73,san patricio,28.017,-97.5169,25.05,68,0,1.42,US,1682643397
74,tofol,5.3248,163.0078,27.88,83,100,1.54,FM,1682643507
75,udachny,66.4167,112.4,-0.86,68,95,2.5,RU,1682643385
76,strezhevoy,60.7333,77.5889,4.28,100,100,5.21,RU,1682643889
77,alofi,-19.0595,-169.9187,27.94,78,75,5.14,NU,1682643479
78,ariquemes,-9.9133,-63.0408,23.48,90,2,0.99,BR,1682643867
79,vernon,50.2581,-119.2691,20.2,22,29,1.79,CA,1682643289
80,albany,42.6001,-73.9662,10.81,66,11,0.46,US,1682643361
81,bredasdorp,-34.5322,20.0403,13.17,88,6,2.23,ZA,1682643409
82,punta arenas,-53.15,-70.9167,3.06,75,20,3.09,CL,1682643370
83,ar ruways,24.1103,52.7306,25.47,42,0,2.9,AE,1682643890
84,rongelap,11.1635,166.8941,27.03,82,35,9.17,MH,1682643891
85,vegreville,53.5001,-112.0518,13.39,30,100,4.12,CA,1682643891
86,krasnoufimsk,56.6059,57.7669,8.8,94,8,2.38,RU,1682643800
87,saipan,15.1355,145.701,30.39,79,40,9.77,MP,1682643420
88,vorgashor,67.5833,63.95,-7.32,93,100,6.6,RU,1682643379
89,mount isa,-20.7333,139.5,27.87,39,8,3.09,AU,1682643634
90,utrik,11.2278,169.8474,26.8,83,79,8.63,MH,1682643407
91,bethel,41.3712,-73.414,9.81,85,0,0.0,US,1682643892
92,blackmans bay,-43.0167,147.3167,21.07,48,100,4.7,AU,1682643360
93,vila franca do campo,37.7167,-25.4333,17.23,90,33,5.95,PT,1682643440
94,queenstown,-31.8976,26.8753,13.44,89,89,1.34,ZA,1682643452
95,narasapur,16.45,81.6667,27.37,77,0,0.88,IN,1682643893
96,saint-pierre,-21.3393,55.4781,21.82,83,75,3.09,RE,1682643420
97,talnakh,69.4865,88.3972,-9.4,94,58,1.19,RU,1682643417
98,usinsk,65.9939,57.5281,-6.46,93,75,4.95,RU,1682643449
99,isafjordur,66.0755,-23.124,-1.9,65,12,2.99,IS,1682643410
100,kingston,17.997,-76.7936,28.53,86,20,7.2,JM,1682643783
101,kapuskasing,49.4169,-82.4331,3.05,93,100,5.66,CA,1682643362
102,tolanaro,-25.0319,46.9987,21.04,100,75,2.06,MG,1682643486
103,mount gambier,-37.8333,140.7667,14.11,57,100,4.29,AU,1682643436
104,vilyuysk,63.7553,121.6247,1.75,86,93,1.89,RU,1682643371
105,nur-sultan,51.1801,71.446,6.97,70,0,2.0,KZ,1682643895
106,carrigaline,51.8117,-8.3986,10.86,100,75,2.57,IE,1682643895
107,georgetown,5.4112,100.3354,27.96,94,20,2.06,MY,1682643278
108,hithadhoo,-0.6,73.0833,28.42,77,100,3.79,MV,1682643409
109,vilyuchinsk,52.9306,158.4028,5.15,65,100,10.62,RU,1682643461
110,hawaiian paradise park,19.5933,-154.9731,28.18,69,100,6.17,US,1682643098
111,okhotsk,59.3833,143.3,1.73,77,23,5.08,RU,1682643419
112,darwin,-12.4611,130.8418,31.61,67,20,3.09,AU,1682643353
113,sar-e pul,35.8333,66.1667,11.65,23,0,1.5,AF,1682643897
114,bilibino,68.0546,166.4372,-4.35,63,4,0.73,RU,1682643359
115,michurinsk,52.8978,40.4907,11.49,81,77,3.97,RU,1682643897
116,lihue,21.9789,-159.3672,27.58,66,20,6.69,US,1682643422
117,timimoun,29.2639,0.231,27.52,11,0,4.31,DZ,1682643897
118,paszto,47.9202,19.6983,3.06,89,13,0.96,HU,1682643898
119,thompson,55.7435,-97.8558,4.09,52,20,4.63,CA,1682643396
120,lazarevskoye,43.9061,39.3331,14.89,71,100,2.52,RU,1682643686
121,riachao das neves,-11.7461,-44.91,25.04,47,100,0.58,BR,1682643898
122,cabo san lucas,22.8909,-109.9124,27.56,60,0,5.36,MX,1682643271
123,hamilton,39.1834,-84.5333,17.69,67,100,1.54,US,1682643254
124,saint-francois,46.4154,3.9054,13.71,94,0,0.0,FR,1682643473
125,lazaro cardenas,17.9583,-102.2,26.39,65,95,3.94,MX,1682643454
126,karagandy,49.8019,73.1021,1.97,39,6,1.81,KZ,1682643899
127,grand falls-windsor,48.9332,-55.6649,0.84,85,84,3.64,CA,1682643502
128,katsuura,35.1333,140.3,19.32,63,44,7.42,JP,1682643405
129,carahue,-38.7,-73.1667,14.75,87,100,0.58,CL,1682643900
130,gettorf,54.4,9.9833,2.79,93,36,0.51,DE,1682643900
131,kasson,44.03,-92.7507,17.97,39,100,3.6,US,1682643901
132,inirida,3.8653,-67.9239,23.7,95,72,0.45,CO,1682643901
133,ribeira grande,38.5167,-28.7,16.54,85,10,8.49,PT,1682643377
134,vila velha,-20.3297,-40.2925,24.97,85,75,2.57,BR,1682643656
135,alliance,40.9153,-81.1059,12.25,67,100,3.52,US,1682643652
136,quimili,-27.6333,-62.4167,18.55,68,25,4.03,AR,1682643902
137,arraial do cabo,-22.9661,-42.0278,25.92,83,20,3.09,BR,1682643372
138,zaysan,47.4667,84.8667,12.66,33,100,0.95,KZ,1682643437
139,sari,36.5633,53.0601,16.81,73,100,0.78,IR,1682643903
140,olonkinbyen,70.9221,-8.7187,-1.93,94,100,11.08,SJ,1682643380
141,felipe carrillo puerto,19.5833,-88.05,25.57,77,52,2.55,MX,1682643810
142,ambon,-3.6954,128.1814,28.86,92,40,0.0,ID,1682643904
143,burang,30.25,81.1667,-6.45,88,43,1.41,CN,1682643904
144,polyarnyy,69.1989,33.4478,-4.09,83,18,5.47,RU,1682643905
145,ancud,-41.8697,-73.8203,12.89,93,100,5.77,CL,1682643437
146,broken hill,-31.95,141.4333,20.55,35,24,5.19,AU,1682643905
147,punta del este,-34.9667,-54.95,16.06,92,75,2.06,UY,1682643675
148,mejit,10.2753,170.8646,27.19,81,33,8.2,MH,1682643906
149,itoman,26.1247,127.6694,25.21,65,75,3.6,JP,1682643906
150,brookings,44.3114,-96.7984,14.03,77,100,4.63,US,1682643333
151,port mathurin,-19.6833,63.4167,25.93,80,28,6.37,MU,1682643406
152,roxas city,11.5853,122.7511,28.41,74,17,5.37,PH,1682643907
153,vaxjo,56.8777,14.8091,0.14,97,20,3.09,SE,1682643907
154,stanley,54.868,-1.6985,7.05,86,40,3.6,GB,1682643407
155,lebu,-37.6167,-73.65,14.62,93,100,5.88,CL,1682643357
156,bathurst,-33.4166,149.5806,20.46,64,1,3.13,AU,1682643908
157,jamestown,42.097,-79.2353,11.8,50,0,4.12,US,1682643276
158,santa rosa,14.3122,121.1114,31.73,70,14,5.22,PH,1682643909
159,khandyga,62.6667,135.6,1.75,79,100,0.52,RU,1682643909
160,caleta de carquin,-11.0925,-77.6267,23.74,80,72,4.11,PE,1682643909
161,al bardiyah,31.7561,25.0865,15.74,72,0,6.99,LY,1682643909
162,beloyarskiy,63.7119,66.6722,-3.68,89,100,5.06,RU,1682643910
163,invercargill,-46.4,168.35,11.68,82,6,0.89,NZ,1682643910
164,flying fish cove,-10.4217,105.6791,27.1,82,100,8.6,CX,1682643424
165,sungailiat,-1.85,106.1333,27.99,74,100,1.41,ID,1682643911
166,taoudenni,22.6783,-3.9836,30.69,8,0,5.97,ML,1682643373
167,merced,37.1666,-120.7516,32.25,20,6,2.46,US,1682643911
168,aksu,41.1231,80.2644,15.51,23,79,2.05,CN,1682643449
169,namie,37.4833,141.0,22.06,47,0,0.24,JP,1682643912
170,ponta delgada,37.7333,-25.6667,17.4,82,20,6.69,PT,1682643912
171,kailua-kona,19.6406,-155.9956,28.98,83,40,5.14,US,1682643261
172,orange,33.7,-117.7675,29.74,68,40,5.14,US,1682643850
173,minot,48.2325,-101.2963,9.06,91,100,3.09,US,1682643913
174,arar,30.9753,41.0381,25.01,22,75,1.54,SA,1682643913
175,revelstoke,50.9832,-118.2023,19.01,18,100,2.06,CA,1682643642
176,qorveh,35.1664,47.8045,9.05,48,7,1.02,IR,1682643913
177,labytnangi,66.6572,66.4183,-6.28,86,100,2.2,RU,1682643474
178,keflavik,64.0049,-22.5624,1.95,86,75,3.6,IS,1682643398
179,hluti,-27.2167,31.6167,17.71,73,18,2.05,SZ,1682643914
180,tuy hoa,13.0833,109.3,27.84,76,90,2.32,VN,1682643914
181,andergrove,-21.0833,149.1833,27.03,75,29,6.79,AU,1682643915
182,alo,7.4178,6.7371,23.99,84,100,0.96,NG,1682643915
183,taulaga,-11.0553,-171.0883,28.64,70,80,5.26,AS,1682643915
184,iwanai,42.9744,140.5089,13.54,63,38,4.78,JP,1682643915
185,guerrero negro,27.9769,-114.0611,16.76,78,7,8.01,MX,1682643393
186,taro,-8.3862,115.28,23.0,79,96,0.33,ID,1682643916
187,buenavista,8.9769,125.4089,30.08,62,61,1.54,PH,1682643916
188,nagqu,31.5,92.0,-2.1,90,100,3.93,CN,1682643397
189,mar del plata,-38.0023,-57.5575,16.16,91,0,2.06,AR,1682643917
190,fale old settlement,-9.3852,-171.2468,28.82,74,100,6.14,TK,1682643469
191,mahina,-17.5065,-149.489,30.87,70,75,1.54,PF,1682643917
192,kirakira,-10.4544,161.9205,29.56,69,14,2.02,SB,1682643917
193,jining,35.405,116.5814,18.6,65,100,2.3,CN,1682643623
194,tshabong,-26.05,22.45,20.94,53,6,2.45,BW,1682643372
195,shimoda,34.6667,138.95,21.72,63,86,4.66,JP,1682643459
196,sitka,57.0531,-135.33,7.94,76,100,5.14,US,1682643379
197,rio preto da eva,-2.6994,-59.6997,23.82,94,76,0.94,BR,1682643493
198,thinadhoo,0.5333,72.9333,27.86,77,100,3.14,MV,1682643919
199,new norfolk,-42.7826,147.0587,21.72,46,100,2.68,AU,1682643367
200,san andres,12.5847,-81.7006,28.01,69,20,2.06,CO,1682643919
201,margaret river,-33.95,115.0667,14.14,64,72,3.73,AU,1682643383
202,luanda,-8.8368,13.2343,26.0,94,40,2.06,AO,1682643920
203,greymouth,-42.4667,171.2,15.26,60,6,1.75,NZ,1682643445
204,egilsstadir,65.2653,-14.3948,-3.05,80,75,3.09,IS,1682643481
205,kalmunai,7.4167,81.8167,26.63,82,76,2.07,LK,1682643920
206,whitehaven,54.549,-3.5841,10.36,80,100,0.89,GB,1682643920
207,chibougamau,49.9168,-74.3659,5.79,56,75,1.54,CA,1682643414
208,neiafu,-18.65,-173.9833,29.38,79,40,5.14,TO,1682643921
209,slave lake,55.2834,-114.769,10.99,32,0,1.54,CA,1682643921
210,hilo,19.7297,-155.09,28.49,75,100,6.17,US,1682643419
211,margate,51.3813,1.3862,11.61,88,100,2.24,GB,1682643922
212,alice springs,-23.7,133.8833,21.75,40,100,5.14,AU,1682643421
213,lompoc,34.6391,-120.4579,25.38,85,75,2.57,US,1682643472
214,fang,19.9169,99.2145,29.44,48,3,0.87,TH,1682643923
215,tazacorte,28.629,-17.9293,19.53,69,0,1.54,ES,1682643923
216,hancheng,32.5186,112.3522,19.91,66,97,3.08,CN,1682643485
217,diawara,15.022,-12.5437,32.59,9,3,4.64,SN,1682643923
218,solnechnyy,50.7214,136.6319,2.48,74,100,3.33,RU,1682643923
219,al jabin,14.704,43.599,15.63,54,22,0.23,YE,1682643924
220,cooper's town,26.8667,-77.5167,25.32,73,83,6.31,BS,1682643924
221,namibe,-15.1961,12.1522,23.89,75,6,0.61,AO,1682643481
222,west island,-12.1568,96.8225,26.99,89,40,3.6,CC,1682643376
223,fort bragg,35.139,-79.006,18.23,90,100,3.6,US,1682643495
224,lycksele,64.5954,18.6735,-2.07,93,75,0.0,SE,1682643504
225,nogliki,51.8333,143.1667,0.42,93,100,4.66,RU,1682643925
226,howrah,22.5892,88.3103,25.0,83,20,1.54,IN,1682643388
227,ta`u,-14.2336,-169.5144,28.07,72,100,5.42,AS,1682643438
228,leava,-14.3,-178.1667,28.48,71,24,3.05,WF,1682643926
229,coquimbo,-29.9533,-71.3436,14.85,82,100,1.54,CL,1682643456
230,belozersk,60.0326,37.7957,4.61,97,65,3.73,RU,1682643926
231,el charco,2.4769,-78.1105,24.93,91,100,0.57,CO,1682643927
232,enewetak,11.3474,162.3373,27.02,80,11,9.32,MH,1682643411
233,newburyport,42.8126,-70.8773,10.67,83,8,1.47,US,1682643782
234,constantia,44.1833,28.65,3.38,65,13,7.63,RO,1682643318
235,papao,-17.75,-149.55,29.82,73,46,1.87,PF,1682643411
236,ilhabela,-23.7781,-45.3581,22.25,81,89,2.0,BR,1682643928
237,el obeid,13.1842,30.2167,29.65,23,100,2.9,SD,1682643928
238,jiuquan,39.7432,98.5174,5.71,25,0,2.35,CN,1682643447
239,lata,40.1629,-8.3327,16.62,81,100,0.46,PT,1682643494
240,selfoss,63.9331,-20.9971,0.02,94,100,2.38,IS,1682643929
241,bontang,0.1333,117.5,27.56,79,100,3.1,ID,1682643929
242,houmt el souk,33.8758,10.8575,17.97,77,0,2.57,TN,1682643929
243,nuuk,64.1835,-51.7216,0.49,80,8,5.81,GL,1682643403
244,vredendal,-31.6683,18.5012,13.36,94,0,0.55,ZA,1682643740
245,fort mcmurray,56.7268,-111.381,14.77,38,100,4.63,CA,1682643930
246,hanceville,34.0607,-86.7675,18.98,96,98,2.14,US,1682643930
247,dingras,18.1032,120.6967,29.86,66,20,1.54,PH,1682643930
248,haiku-pauwela,20.9219,-156.3051,25.09,82,100,7.2,US,1682643439
249,tamandare,-8.7597,-35.1047,25.66,85,46,1.67,BR,1682643931
250,nurota,40.5614,65.6886,15.72,30,0,0.59,UZ,1682643931
251,monte carmelo,-18.7247,-47.4986,18.27,89,5,1.81,BR,1682643931
252,saint-louis,16.3333,-15.0,25.8,38,0,4.82,SN,1682643932
253,cartagena,10.3997,-75.5144,27.79,78,75,4.63,CO,1682643906
254,laguna,38.421,-121.4238,33.16,27,0,3.09,US,1682643757
255,chadan,51.2833,91.5833,7.37,49,100,1.13,RU,1682643932
256,archbald,41.4948,-75.5369,11.72,83,100,1.6,US,1682643933
257,east ballina,-28.8667,153.5833,22.11,62,1,2.31,AU,1682643933
258,naze,28.3667,129.4833,21.51,72,100,4.26,JP,1682643933
259,zaozersk,69.4005,32.4476,-7.93,96,40,1.81,RU,1682643383
260,ad-damazin,11.7891,34.3592,28.48,55,100,3.69,SD,1682643934
261,tobol'sk,58.2,68.2667,11.21,78,6,4.05,RU,1682643934
262,bandarbeyla,9.4942,50.8122,28.04,76,100,3.83,SO,1682643934
263,phan rang-thap cham,11.5667,108.9833,30.05,61,100,2.86,VN,1682643934
264,shagonar,51.5333,92.8,4.63,57,100,0.81,RU,1682643935
265,ebon,4.582,168.6964,28.33,78,100,6.89,MH,1682643935
266,pathein,16.7833,94.7333,29.81,62,0,3.89,MM,1682643935
267,sandnessjoen,66.0217,12.6316,3.14,90,82,0.89,NO,1682643936
268,horta,38.5333,-28.6333,15.57,84,18,6.26,PT,1682643936
269,longboat key,27.4125,-82.659,27.23,61,0,5.14,US,1682643936
270,jalpa,21.6333,-102.9667,27.52,8,0,7.65,MX,1682643936
271,island harbour,50.724,-1.2758,12.74,96,100,3.13,GB,1682643937
272,rabo de peixe,37.8,-25.5833,16.73,82,20,6.69,PT,1682643937
273,hasaki,35.7333,140.8333,22.38,63,0,8.23,JP,1682643424
274,chimore,-16.9833,-65.1333,22.29,95,2,1.08,BO,1682643937
275,novodvinsk,64.4165,40.8122,-2.14,87,100,2.97,RU,1682643938
276,afaahiti,-17.75,-149.2833,28.93,75,34,3.1,PF,1682643396
277,minas de marcona,-15.2119,-75.1103,17.05,83,17,4.29,PE,1682643387
278,izluchinsk,60.9794,76.9242,6.01,99,100,6.96,RU,1682643938
279,governador dix sept rosado,-5.4589,-37.5208,24.06,87,100,1.75,BR,1682643938
280,tazovsky,67.4667,78.7,-7.14,92,100,3.86,RU,1682643369
